model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear SVM,da6d469,0.8453865336658354,0.03125,0.018518518518518517,0.1,0.3145780051150895,0.9514066496163683,0.1,1,53,338,9,1,9,53,401,10
RBF SVM,da6d469,0.3341645885286783,0.02197802197802198,0.011406844106463879,0.3,0.6964194373401535,0.7595907928388747,0.2,3,260,131,7,3,7,260,401,10
Decision Tree,da6d469,0.9576059850374065,0.0,0.0,0.0,0.49104859335038364,0.4782608695652174,0.0,0,7,384,10,0,10,7,401,10
Random Forest,da6d469,0.9750623441396509,0.0,0.0,0.0,0.42838874680306904,0.7135549872122762,0.0,0,0,391,10,0,10,0,401,10
AdaBoost,da6d469,0.9576059850374065,0.0,0.0,0.0,0.5455242966751919,0.4578005115089514,0.0,0,7,384,10,0,10,7,401,10
Naive Bayes,da6d469,0.9750623441396509,0.0,0.0,0.0,0.5,0.4731457800511509,0.0,0,0,391,10,0,10,0,401,10
Linear Classifier (Logistic Regression),7f6d63d,0.858560794044665,0.03389830508474576,0.017857142857142856,0.3333333333333333,0.46499999999999997,0.825,0.0,1,55,345,2,1,2,55,403,3
Nearest Neighbors,7f6d63d,0.9925558312655087,0.0,0.0,0.0,0.45875,0.915,0.0,0,0,400,3,0,3,0,403,3
Linear SVM,7f6d63d,0.7766749379652605,0.021739130434782608,0.011235955056179775,0.3333333333333333,0.4983333333333333,0.7475,0.0,1,88,312,2,1,2,88,403,3
RBF SVM,7f6d63d,0.9528535980148883,0.09523809523809523,0.05555555555555555,0.3333333333333333,0.6475,0.89,0.3333333333333333,1,17,383,2,1,2,17,403,3
Decision Tree,7f6d63d,0.7866004962779156,0.022727272727272728,0.011764705882352941,0.3333333333333333,0.5458333333333333,0.7725,0.0,1,84,316,2,1,2,84,403,3
Random Forest,7f6d63d,0.9925558312655087,0.0,0.0,0.0,0.4754166666666666,0.7425,0.0,0,0,400,3,0,3,0,403,3
AdaBoost,7f6d63d,0.9900744416873449,0.0,0.0,0.0,0.45666666666666667,0.9325,0.0,0,1,399,3,0,3,1,403,3
Naive Bayes,7f6d63d,0.967741935483871,0.0,0.0,0.0,0.6591666666666667,0.7475,0.0,0,10,390,3,0,3,10,403,3
Linear Classifier (Logistic Regression),972f622,0.7753086419753087,0.09900990099009901,0.05952380952380952,0.29411764705882354,0.538280776228017,0.8994845360824743,0.23529411764705882,5,79,309,12,5,12,79,405,17
Nearest Neighbors,972f622,0.9580246913580247,0.0,0.0,0.0,0.5222862340812614,0.8556701030927835,0.11764705882352941,0,0,388,17,0,17,0,405,17
Linear SVM,972f622,0.7061728395061728,0.0916030534351145,0.05263157894736842,0.35294117647058826,0.5408580958156458,0.8891752577319587,0.17647058823529413,6,108,280,11,6,11,108,405,17
RBF SVM,972f622,0.5777777777777777,0.09523809523809523,0.05232558139534884,0.5294117647058824,0.5235748938750758,0.8195876288659794,0.17647058823529413,9,163,225,8,9,8,163,405,17
Decision Tree,972f622,0.837037037037037,0.1951219512195122,0.12307692307692308,0.47058823529411764,0.7117950272892662,0.8711340206185567,0.35294117647058826,8,57,331,9,8,9,57,405,17
Random Forest,972f622,0.9580246913580247,0.0,0.0,0.0,0.6506215888417223,0.7912371134020618,0.29411764705882354,0,0,388,17,0,17,0,405,17
AdaBoost,972f622,0.9308641975308642,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.6907974530018193,0.6391752577319587,0.35294117647058826,3,14,374,14,3,14,14,405,17
Naive Bayes,972f622,0.9259259259259259,0.21052631578947367,0.19047619047619047,0.23529411764705882,0.5745148574893875,0.884020618556701,0.35294117647058826,4,17,371,13,4,13,17,405,17
Linear Classifier (Logistic Regression),575f518,0.7243107769423559,0.017857142857142856,0.009433962264150943,0.16666666666666666,0.47879558948261247,0.8575063613231552,0.16666666666666666,1,105,288,5,1,5,105,399,6
Nearest Neighbors,575f518,0.9849624060150376,0.0,0.0,0.0,0.7092875318066156,0.3816793893129771,0.5,0,0,393,6,0,6,0,399,6
Linear SVM,575f518,0.6390977443609023,0.02702702702702703,0.014084507042253521,0.3333333333333333,0.5402883799830365,0.8727735368956743,0.16666666666666666,2,140,253,4,2,4,140,399,6
RBF SVM,575f518,0.8872180451127819,0.11764705882352941,0.06666666666666667,0.5,0.6195928753180662,0.8804071246819338,0.5,3,42,351,3,3,3,42,399,6
Decision Tree,575f518,0.8446115288220551,0.03125,0.017241379310344827,0.16666666666666666,0.5108142493638677,0.5063613231552163,0.16666666666666666,1,57,336,5,1,5,57,399,6
Random Forest,575f518,0.9849624060150376,0.0,0.0,0.0,0.6115351993214589,0.5012722646310432,0.3333333333333333,0,0,393,6,0,6,0,399,6
AdaBoost,575f518,0.9849624060150376,0.0,0.0,0.0,0.5557675996607294,0.8854961832061069,0.16666666666666666,0,0,393,6,0,6,0,399,6
Naive Bayes,575f518,0.9122807017543859,0.10256410256410256,0.06060606060606061,0.3333333333333333,0.6301950805767599,0.7531806615776081,0.3333333333333333,2,31,362,4,2,4,31,399,6
Linear Classifier (Logistic Regression),5c5004f,0.6686746987951807,0.5985401459854015,0.4606741573033708,0.8541666666666666,0.6987111581920904,0.5169491525423728,0.14583333333333334,41,48,70,7,41,7,48,166,48
Nearest Neighbors,5c5004f,0.6626506024096386,0.5942028985507246,0.45555555555555555,0.8541666666666666,0.7194562146892656,0.711864406779661,0.3333333333333333,41,49,69,7,41,7,49,166,48
Linear SVM,5c5004f,0.6626506024096386,0.5942028985507246,0.45555555555555555,0.8541666666666666,0.7319915254237288,0.5169491525423728,0.22916666666666666,41,49,69,7,41,7,49,166,48
RBF SVM,5c5004f,0.6626506024096386,0.5942028985507246,0.45555555555555555,0.8541666666666666,0.7070974576271187,0.5254237288135594,0.16666666666666666,41,49,69,7,41,7,49,166,48
Decision Tree,5c5004f,0.7048192771084337,0.0,0.0,0.0,0.4957627118644068,0.9322033898305084,0.041666666666666664,0,1,117,48,0,48,1,166,48
Random Forest,5c5004f,0.7409638554216867,0.6055045871559633,0.5409836065573771,0.6875,0.780808615819209,0.4745762711864407,0.3541666666666667,33,28,90,15,33,15,28,166,48
AdaBoost,5c5004f,0.7048192771084337,0.0,0.0,0.0,0.4957627118644068,0.9322033898305084,0.041666666666666664,0,1,117,48,0,48,1,166,48
Naive Bayes,5c5004f,0.6385542168674698,0.5522388059701493,0.43023255813953487,0.7708333333333334,0.6777895480225988,0.7457627118644068,0.2916666666666667,37,49,69,11,37,11,49,166,48
Linear Classifier (Logistic Regression),25b3303,0.7876543209876543,0.0,0.0,0.0,0.4445,0.915,0.0,0,81,319,5,0,5,81,405,5
